	20	32	
0xa6.png	a6	166	
0xa7.png	a7	167	
0xa8.png	a8	168	
0xa9.png	a9	169	
0xab.png	ab	171	
0xac.png	ac	172	
0xae.png	ae	174	
0xb0.png	b0	176	
0xb4.png	b4	180	
0xb5.png	b5	181	
0xb6.png	b6	182	
0xb7.png	b7	183	
0xb8.png	b8	184	
0xbb.png	bb	187	
0xc1.png	c1	193	
0xc2.png	c2	194	
0xc4.png	c4	196	
0xc7.png	c7	199	
0xc9.png	c9	201	
0xcb.png	cb	203	
0xcd.png	cd	205	
0xce.png	ce	206	
0xd3.png	d3	211	
0xd4.png	d4	212	
0xd6.png	d6	214	
0xd7.png	d7	215	
0xda.png	da	218	
0xdc.png	dc	220	
0xdd.png	dd	221	
0xdf.png	df	223	
0xe1.png	e1	225	
0xe2.png	e2	226	
0xe4.png	e4	228	
0xe7.png	e7	231	
0xe9.png	e9	233	
0xeb.png	eb	235	
0xed.png	ed	237	
0xee.png	ee	238	
0xf3.png	f3	243	
0xf4.png	f4	244	
0xf6.png	f6	246	
0xf7.png	f7	247	
0x160.png	160	352	
0x161.png	161	353	
0x17d.png	17d	381	
0x2013.png	2013	8211	
0x2014.png	2014	8212	
0x2018.png	2018	8216	
0x2019.png	2019	8217	
0x201a.png	201a	8218	
0x201c.png	201c	8220	
0x201d.png	201d	8221	
0x201e.png	201e	8222	
0x2020.png	2020	8224	
0x2021.png	2021	8225	
0x2022.png	2022	8226	
0x2026.png	2026	8230	
0x2030.png	2030	8240	
0x2039.png	2039	8249	
0x203a.png	203a	8250	
0x2122.png	2122	8482	
0xea00.png	ea00	59904	
0xea01.png	ea01	59905	
0xea02.png	ea02	59906	
0xea03.png	ea03	59907	
0xea05.png	ea05	59909	
0xea06.png	ea06	59910	
0xea07.png	ea07	59911	
0xea08.png	ea08	59912	
0xea09.png	ea09	59913	
0xea0a.png	ea0a	59914	
0xea0b.png	ea0b	59915	
0xea0c.png	ea0c	59916	
0xea0d.png	ea0d	59917	
0xea0e.png	ea0e	59918	
0xea0f.png	ea0f	59919	
0xea10.png	ea10	59920	
0xea11.png	ea11	59921	
0xea12.png	ea12	59922	
0xea13.png	ea13	59923	
0xea14.png	ea14	59924	
0xea15.png	ea15	59925	
0xea16.png	ea16	59926	
0xea20.png	ea20	59936	
0xea21.png	ea21	59937	
0xea22.png	ea22	59938	
0xea23.png	ea23	59939	
0xea24.png	ea24	59940	
0xea25.png	ea25	59941	
0xea26.png	ea26	59942	
0xea27.png	ea27	59943	
0xea30.png	ea30	59952	
0xea31.png	ea31	59953	
